onset	duration	description	channels
457.699000	0.000000	easy_target	
458.169000	0.000000	correct	
459.687758	1.095820	BAD boundary	
459.779000	0.000000	easy_target	
460.112000	0.000000	correct	
461.853000	0.000000	easy_target	
462.208000	0.000000	correct	
463.981000	0.000000	easy_target	
464.344000	0.000000	correct	
466.151000	0.000000	easy_distractor	
468.088000	0.000000	easy_target	
468.464000	0.000000	correct	
470.054000	0.000000	easy_distractor	
472.249000	0.000000	easy_distractor	
474.189000	0.000000	easy_target	
474.586000	0.000000	correct	
476.214999	0.000000	easy_distractor	
478.296001	0.000000	easy_distractor	
480.490001	0.000000	easy_distractor	
482.367999	0.000000	easy_distractor	
484.224000	0.000000	easy_distractor	
486.240998	0.000000	easy_distractor	
488.225000	0.000000	easy_target	
488.661000	0.000000	correct	
490.289998	0.000000	easy_distractor	
492.306001	0.000000	easy_target	
492.735002	0.000000	correct	
494.440999	0.000000	easy_distractor	
496.287999	0.000000	easy_distractor	
498.180001	0.000000	easy_target	
498.473001	0.000000	correct	
500.287000	0.000000	easy_distractor	
502.169000	0.000000	easy_target	
502.682000	0.000000	correct	
504.296998	0.000000	easy_distractor	
506.189000	0.000000	easy_distractor	
508.093000	0.000000	easy_distractor	
510.107999	0.000000	easy_distractor	
511.940999	0.000000	easy_distractor	
513.920999	0.000000	easy_target	
514.419999	0.000000	correct	
516.023999	0.000000	easy_target	
516.482999	0.000000	correct	
518.006002	0.000000	easy_distractor	
519.947003	0.000000	easy_target	
520.332997	0.000000	correct	
521.415260	2.509781	BAD boundary	
521.845998	0.000000	easy_target	
522.227002	0.000000	correct	
523.813001	0.000000	easy_distractor	
525.676999	0.000000	easy_target	
526.120999	0.000000	correct	
527.694997	0.000000	easy_target	
528.088002	0.000000	correct	
529.643003	0.000000	easy_distractor	
531.776998	0.000000	easy_target	
532.173001	0.000000	correct	
533.816999	0.000000	easy_target	
534.302999	0.000000	correct	
535.690000	0.000000	easy_target	
535.969998	0.000000	correct	
537.530004	0.000000	easy_target	
537.818997	0.000000	correct	
539.559003	0.000000	easy_target	
539.887998	0.000000	correct	
541.593999	0.000000	easy_distractor	
543.607999	0.000000	easy_distractor	
545.801000	0.000000	easy_distractor	
547.818997	0.000000	easy_distractor	
549.804998	0.000000	easy_target	
550.246999	0.000000	correct	
551.787000	0.000000	easy_target	
552.162000	0.000000	correct	
553.657003	0.000000	easy_distractor	
555.524999	0.000000	easy_distractor	
557.539998	0.000000	easy_target	
557.976003	0.000000	correct	
559.639997	0.000000	easy_target	
559.947003	0.000000	correct	
561.639997	0.000000	easy_distractor	
563.537999	0.000000	easy_target	
563.940999	0.000000	correct	
565.399999	0.000000	easy_target	
565.813001	0.000000	correct	
567.342000	0.000000	easy_target	
567.677999	0.000000	correct	
569.397000	0.000000	easy_distractor	
571.577001	0.000000	easy_target	
572.022000	0.000000	correct	
573.524999	0.000000	easy_target	
573.826001	0.000000	correct	
575.596997	0.000000	easy_target	
575.886998	0.000000	correct	
577.747998	0.000000	easy_distractor	
579.694005	0.000000	easy_distractor	
581.655995	0.000000	easy_target	
582.155004	0.000000	correct	
583.795003	0.000000	easy_distractor	
585.778005	0.000000	easy_target	
586.297994	0.000000	correct	
587.808995	0.000000	easy_target	
588.205007	0.000000	correct	
589.791997	0.000000	easy_distractor	
591.830007	0.000000	easy_distractor	
593.875005	0.000000	easy_distractor	
596.064000	0.000000	easy_target	
596.560994	0.000000	correct	
598.071996	0.000000	easy_distractor	
599.982000	0.000000	easy_target	
600.468999	0.000000	correct	
601.944005	0.000000	easy_target	
602.437993	0.000000	correct	
604.000005	0.000000	easy_target	
604.386998	0.000000	correct	
605.881993	0.000000	easy_target	
606.215993	0.000000	correct	
607.750005	0.000000	easy_distractor	
609.750005	0.000000	easy_distractor	
611.823003	0.000000	easy_distractor	
613.972997	0.000000	easy_distractor	
616.095006	0.000000	easy_target	
616.549001	0.000000	correct	
617.914006	0.000000	easy_target	
618.265004	0.000000	correct	
620.110005	0.000000	easy_target	
620.418996	0.000000	correct	
622.105001	0.000000	easy_target	
622.388997	0.000000	correct	
624.004995	0.000000	easy_distractor	
625.993001	0.000000	easy_distractor	
628.138997	0.000000	easy_target	
628.536000	0.000000	correct	
630.306005	0.000000	easy_target	
630.623998	0.000000	correct	
632.357000	0.000000	easy_target	
632.595006	0.000000	correct	
634.526998	0.000000	easy_distractor	
634.799001	0.000000	incorrect	
636.457006	0.000000	easy_target	
636.929998	0.000000	correct	
638.560994	0.000000	easy_distractor	
640.379995	0.000000	easy_distractor	
642.383000	0.000000	easy_distractor	
644.254003	0.000000	easy_target	
644.718007	0.000000	correct	
646.375005	0.000000	easy_distractor	
648.569997	0.000000	easy_distractor	
650.662999	0.000000	easy_target	
651.088002	0.000000	correct	
652.508000	0.000000	easy_distractor	
654.588002	0.000000	easy_target	
655.086003	0.000000	correct	
660.440000	0.000000	BAD boundary	
660.440000	0.000000	EDGE boundary	
664.901000	0.000000	animal_distractor	
666.933000	0.000000	animal_distractor	
668.884000	0.000000	animal_distractor	
670.907000	0.000000	animal_target	
671.521000	0.000000	correct	
672.729000	0.000000	animal_distractor	
674.734000	0.000000	animal_target	
675.138000	0.000000	correct	
676.874000	0.000000	animal_distractor	
