stage,roi,condition,trial_index,amp_uV,peak_latency_ms
After ICA,Frontal ROI,familiar,120,-2.8957975663566815,440.0
After ICA,Frontal ROI,familiar,121,12.285107352899969,352.0
After ICA,Frontal ROI,familiar,122,7.063870668506385,339.0
After ICA,Frontal ROI,familiar,123,-0.035335763227049906,497.0
After ICA,Frontal ROI,familiar,124,7.573685821572567,325.0
After ICA,Frontal ROI,familiar,125,7.41952748301569,367.0
After ICA,Frontal ROI,familiar,126,7.877377531107252,408.0
After ICA,Frontal ROI,familiar,127,-2.8473123548008927,377.0
After ICA,Frontal ROI,familiar,128,-6.679932696164613,487.0
After ICA,Frontal ROI,familiar,129,-6.734394578488381,474.0
After ICA,Frontal ROI,familiar,130,-7.254929067840313,300.0
After ICA,Frontal ROI,familiar,131,-11.757417295831557,474.0
After ICA,Frontal ROI,familiar,132,-7.334414363247921,421.0
After ICA,Frontal ROI,familiar,133,-8.294566858022995,355.0
After ICA,Frontal ROI,familiar,134,5.762677529324466,326.0
After ICA,Frontal ROI,familiar,135,5.7735521221320205,442.0
After ICA,Frontal ROI,familiar,136,-14.606785634381746,309.0
After ICA,Frontal ROI,familiar,137,1.9456260144230892,472.0
After ICA,Frontal ROI,familiar,138,-13.202572012832649,500.0
After ICA,Frontal ROI,familiar,139,-20.63055527305888,316.0
After ICA,Frontal ROI,familiar,140,-4.322846813702434,388.0
After ICA,Frontal ROI,familiar,141,49.820419673733426,409.0
After ICA,Frontal ROI,familiar,142,30.502600445538036,308.0
After ICA,Frontal ROI,familiar,143,-2.408852370762067,414.0
After ICA,Frontal ROI,familiar,144,1.3638510217243291,386.0
After ICA,Frontal ROI,familiar,145,3.7929599763631936,493.0
After ICA,Frontal ROI,familiar,146,-1.0209190935509147,500.0
After ICA,Frontal ROI,familiar,147,6.627957895683761,425.0
After ICA,Frontal ROI,familiar,148,-11.650473693200993,387.0
After ICA,Frontal ROI,familiar,149,1.5985897158456195,465.0
After ICA,Frontal ROI,familiar,150,2.417568535537824,458.0
After ICA,Frontal ROI,familiar,151,23.266786601646025,491.0
After ICA,Frontal ROI,familiar,152,-6.561297311281179,310.0
After ICA,Frontal ROI,familiar,153,-9.249461275760073,416.0
After ICA,Frontal ROI,familiar,154,-32.26394594734201,315.0
After ICA,Frontal ROI,familiar,155,7.464414957790241,369.0
After ICA,Frontal ROI,familiar,156,-7.718394501542156,490.0
After ICA,Frontal ROI,familiar,157,22.5277422548814,443.0
After ICA,Frontal ROI,familiar,158,1.6624618695369764,433.0
After ICA,Frontal ROI,familiar,159,-4.369638442429383,375.0
After ICA,Frontal ROI,familiar,160,-5.6947900724591936,363.0
After ICA,Frontal ROI,familiar,161,-5.368667178566215,473.0
After ICA,Frontal ROI,familiar,162,-7.240802279683556,500.0
After ICA,Frontal ROI,familiar,163,-6.928870495553043,303.0
After ICA,Frontal ROI,familiar,164,-0.26425879697046256,500.0
After ICA,Frontal ROI,familiar,165,-9.94284270993177,353.0
After ICA,Frontal ROI,familiar,166,-0.7141836171037319,500.0
After ICA,Frontal ROI,familiar,167,-13.80143784872459,322.0
After ICA,Frontal ROI,familiar,168,-1.5071340885346491,348.0
After ICA,Frontal ROI,familiar,169,9.026517209619152,482.0
After ICA,Frontal ROI,familiar,170,-8.746039407075859,357.0
After ICA,Frontal ROI,familiar,171,10.739304387297436,402.0
After ICA,Frontal ROI,familiar,172,-4.287745987064894,346.0
After ICA,Frontal ROI,familiar,173,2.993122623354795,429.0
After ICA,Frontal ROI,familiar,174,4.477886745920912,500.0
After ICA,Frontal ROI,familiar,175,-3.181477816830283,494.0
After ICA,Frontal ROI,familiar,176,-4.079532742083616,407.0
After ICA,Frontal ROI,familiar,177,6.829205788740436,311.0
After ICA,Frontal ROI,familiar,178,-8.196119145684419,406.0
After ICA,Frontal ROI,familiar,179,0.3520999655194294,351.0
After ICA,Frontal ROI,familiar,180,0.4887551374820443,324.0
After ICA,Frontal ROI,familiar,181,-4.287527206851472,314.0
After ICA,Frontal ROI,familiar,182,-5.906758303550168,471.0
After ICA,Frontal ROI,familiar,183,-7.372109193496701,308.0
After ICA,Frontal ROI,familiar,184,5.639817904808567,470.0
After ICA,Frontal ROI,familiar,185,0.24055281521911442,331.0
After ICA,Frontal ROI,familiar,186,7.952099457431795,490.0
After ICA,Frontal ROI,familiar,187,-10.348436289705868,300.0
After ICA,Frontal ROI,familiar,188,-10.184924605486698,481.0
After ICA,Frontal ROI,familiar,189,3.8004573092371348,378.0
After ICA,Frontal ROI,familiar,190,5.324839461700629,457.0
After ICA,Frontal ROI,familiar,191,-3.705282576235424,500.0
After ICA,Frontal ROI,familiar,192,0.6287510310353536,300.0
After ICA,Frontal ROI,familiar,193,-0.7696851065609388,438.0
After ICA,Frontal ROI,familiar,194,-4.180226339229001,456.0
After ICA,Frontal ROI,familiar,195,-4.306333682704546,356.0
After ICA,Frontal ROI,familiar,196,10.112070574193261,422.0
After ICA,Frontal ROI,familiar,197,49.547983736868744,388.0
After ICA,Frontal ROI,familiar,198,-7.609004525161323,373.0
After ICA,Frontal ROI,familiar,199,-11.678284049291387,334.0
After ICA,Frontal ROI,familiar,200,-10.78651474181778,396.0
After ICA,Frontal ROI,familiar,201,-7.576136810475246,495.0
After ICA,Frontal ROI,familiar,202,7.7341050902015445,453.0
After ICA,Frontal ROI,familiar,203,-6.4315334871775836,384.0
After ICA,Frontal ROI,familiar,204,-4.435778539709424,436.0
After ICA,Frontal ROI,familiar,205,-1.003418075476349,443.0
After ICA,Frontal ROI,familiar,206,6.52339132077749,320.0
After ICA,Frontal ROI,familiar,207,-10.46842506524957,339.0
After ICA,Frontal ROI,familiar,208,-10.138562671297361,326.0
After ICA,Frontal ROI,familiar,209,10.93000769541929,395.0
After ICA,Frontal ROI,familiar,210,-2.2703256796327502,495.0
After ICA,Frontal ROI,familiar,211,3.715128271880495,360.0
After ICA,Frontal ROI,familiar,212,-56.64163445094466,311.0
After ICA,Frontal ROI,familiar,213,4.920319077777789,401.0
