stage,roi,condition,trial_index,amp_uV,peak_latency_ms
Before ICA,Frontal ROI,familiar,154,-7.6812624450190405,398.0
Before ICA,Frontal ROI,familiar,155,-18.920115042647932,500.0
Before ICA,Frontal ROI,familiar,156,-10.30594300303232,332.0
Before ICA,Frontal ROI,familiar,157,-19.14886399325835,309.0
Before ICA,Frontal ROI,familiar,158,-6.239406090899913,377.0
Before ICA,Frontal ROI,familiar,159,-12.967344301569472,442.0
Before ICA,Frontal ROI,familiar,160,-24.17621234838872,350.0
Before ICA,Frontal ROI,familiar,161,-18.048845403893516,328.0
Before ICA,Frontal ROI,familiar,162,-22.534934708446034,393.0
Before ICA,Frontal ROI,familiar,163,-14.634280497710831,375.0
Before ICA,Frontal ROI,familiar,164,-6.130453882430943,308.0
Before ICA,Frontal ROI,familiar,165,-9.293950886653604,316.0
Before ICA,Frontal ROI,familiar,166,-12.090748443597693,394.0
Before ICA,Frontal ROI,familiar,167,-18.58240551066498,446.0
Before ICA,Frontal ROI,familiar,168,-21.385752909035016,324.0
Before ICA,Frontal ROI,familiar,169,-18.257869386029157,347.0
Before ICA,Frontal ROI,familiar,170,-10.424049558266033,310.0
Before ICA,Frontal ROI,familiar,171,-2.408927757558842,453.0
Before ICA,Frontal ROI,familiar,172,-15.070970494978356,371.0
Before ICA,Frontal ROI,familiar,173,-7.0536173306934495,316.0
Before ICA,Frontal ROI,familiar,174,1.529029976772143,396.0
Before ICA,Frontal ROI,familiar,175,-11.32864881941532,314.0
Before ICA,Frontal ROI,familiar,176,-7.804910919830365,380.0
Before ICA,Frontal ROI,familiar,177,-23.809724730204103,488.0
Before ICA,Frontal ROI,familiar,178,-16.051335583637044,385.0
Before ICA,Frontal ROI,familiar,179,-25.74807775610704,363.0
Before ICA,Frontal ROI,familiar,180,-16.821237074029593,384.0
Before ICA,Frontal ROI,familiar,181,-24.288064721559245,386.0
Before ICA,Frontal ROI,familiar,182,-30.429163957946912,399.0
Before ICA,Frontal ROI,familiar,183,-32.256129770950636,340.0
Before ICA,Frontal ROI,familiar,184,-15.914656924932354,435.0
Before ICA,Frontal ROI,familiar,185,-11.054984409208338,300.0
Before ICA,Frontal ROI,familiar,186,-12.78372567178834,343.0
Before ICA,Frontal ROI,familiar,187,-21.721798823160498,429.0
Before ICA,Frontal ROI,familiar,188,-23.738517524762212,376.0
Before ICA,Frontal ROI,familiar,189,-31.762308164044498,326.0
Before ICA,Frontal ROI,familiar,190,-15.636873893635114,386.0
Before ICA,Frontal ROI,familiar,191,40.13076480615571,466.0
Before ICA,Frontal ROI,familiar,192,-10.805674731315197,475.0
Before ICA,Frontal ROI,familiar,193,-12.832432785602558,362.0
Before ICA,Frontal ROI,familiar,194,-18.173063024573576,395.0
Before ICA,Frontal ROI,familiar,195,7.64471114392285,493.0
Before ICA,Frontal ROI,familiar,196,-16.009258098933884,479.0
Before ICA,Frontal ROI,familiar,197,-12.023421363215276,367.0
Before ICA,Frontal ROI,familiar,198,-13.427447163566626,429.0
Before ICA,Frontal ROI,familiar,199,-6.9238821599713685,476.0
Before ICA,Frontal ROI,familiar,200,-6.904657278267056,386.0
Before ICA,Frontal ROI,familiar,201,-10.522332923090195,381.0
Before ICA,Frontal ROI,familiar,202,-8.40341990634834,369.0
Before ICA,Frontal ROI,familiar,203,-6.804474410058093,358.0
Before ICA,Frontal ROI,familiar,204,2.0917528662469445,385.0
Before ICA,Frontal ROI,familiar,205,-7.7480915692201435,391.0
Before ICA,Frontal ROI,familiar,206,-7.66411285593593,485.0
Before ICA,Frontal ROI,familiar,207,2.3511481503494096,371.0
Before ICA,Frontal ROI,familiar,208,-1.1934878287781494,389.0
Before ICA,Frontal ROI,familiar,209,1.286366713204231,428.0
Before ICA,Frontal ROI,familiar,210,-4.761510830783229,310.0
Before ICA,Frontal ROI,familiar,211,1.8139789169304033,384.0
Before ICA,Frontal ROI,familiar,212,-23.10630399999471,455.0
Before ICA,Frontal ROI,familiar,213,-13.313334912532401,421.0
Before ICA,Frontal ROI,familiar,214,-3.077023413532701,415.0
Before ICA,Frontal ROI,familiar,215,-2.908475130628129,424.0
Before ICA,Frontal ROI,familiar,216,-5.940238380229371,474.0
Before ICA,Frontal ROI,familiar,217,-2.985298045705202,383.0
Before ICA,Frontal ROI,familiar,218,-16.512635217044938,377.0
Before ICA,Frontal ROI,familiar,219,7.31384453764988,358.0
Before ICA,Frontal ROI,familiar,220,-13.221020409598225,348.0
Before ICA,Frontal ROI,familiar,221,-10.422063610196927,419.0
Before ICA,Frontal ROI,familiar,222,-9.7442570731491,346.0
Before ICA,Frontal ROI,familiar,223,-12.795271550607339,310.0
Before ICA,Frontal ROI,familiar,224,1.8379719924033826,313.0
Before ICA,Frontal ROI,familiar,225,-20.311636966907468,388.0
Before ICA,Frontal ROI,familiar,226,-12.141974340064113,338.0
Before ICA,Frontal ROI,familiar,227,-9.46459093663859,322.0
Before ICA,Frontal ROI,familiar,228,-12.913481274592511,419.0
Before ICA,Frontal ROI,familiar,229,-4.2960633380407165,368.0
Before ICA,Frontal ROI,familiar,230,-17.58638618434187,362.0
Before ICA,Frontal ROI,familiar,231,-5.131009108672452,347.0
Before ICA,Frontal ROI,familiar,232,-17.188833466694717,311.0
Before ICA,Frontal ROI,familiar,233,-4.399732784607154,436.0
Before ICA,Frontal ROI,familiar,234,-16.343549831687373,388.0
Before ICA,Frontal ROI,familiar,235,-4.724834699467575,362.0
Before ICA,Frontal ROI,familiar,236,-17.26522276477419,403.0
Before ICA,Frontal ROI,familiar,237,-3.3629794690517882,349.0
Before ICA,Frontal ROI,familiar,238,-5.317341758259152,311.0
Before ICA,Frontal ROI,familiar,239,-12.448939498187718,370.0
Before ICA,Frontal ROI,familiar,240,-5.119390516978773,364.0
Before ICA,Frontal ROI,familiar,241,-6.856868853222803,355.0
Before ICA,Frontal ROI,familiar,242,-10.043783598597189,320.0
Before ICA,Frontal ROI,familiar,243,-23.586554569447344,361.0
Before ICA,Frontal ROI,familiar,244,-4.437464804578707,306.0
Before ICA,Frontal ROI,familiar,245,-12.379469365325294,389.0
Before ICA,Frontal ROI,familiar,246,-24.37915574546032,500.0
Before ICA,Frontal ROI,familiar,247,-10.870283162333134,306.0
Before ICA,Frontal ROI,familiar,248,-12.583868949631118,380.0
Before ICA,Frontal ROI,familiar,249,-4.8652892307255335,300.0
Before ICA,Frontal ROI,familiar,250,-9.331247596067472,311.0
Before ICA,Frontal ROI,familiar,251,2.6569223134708118,427.0
Before ICA,Frontal ROI,familiar,252,0.5937631510315547,428.0
Before ICA,Frontal ROI,familiar,253,-7.651934548506887,386.0
Before ICA,Frontal ROI,familiar,254,-18.325620497666787,316.0
Before ICA,Frontal ROI,familiar,255,-7.950479782804837,398.0
Before ICA,Frontal ROI,familiar,256,0.20243651847865757,500.0
Before ICA,Frontal ROI,familiar,257,-3.6388246904849084,500.0
Before ICA,Frontal ROI,familiar,258,-2.8039548311436535,500.0
Before ICA,Frontal ROI,familiar,259,-20.13374032409375,385.0
Before ICA,Frontal ROI,familiar,260,-8.748347977333262,361.0
Before ICA,Frontal ROI,familiar,261,6.438137063437806,330.0
Before ICA,Frontal ROI,familiar,262,-3.106991939842269,315.0
Before ICA,Frontal ROI,familiar,263,-35.18382531870494,396.0
Before ICA,Frontal ROI,familiar,264,-15.117789360870695,303.0
Before ICA,Frontal ROI,familiar,265,5.413447774099792,337.0
Before ICA,Frontal ROI,familiar,266,-6.58345991283568,487.0
Before ICA,Frontal ROI,familiar,267,-7.183416080088588,302.0
Before ICA,Frontal ROI,familiar,268,9.843546408541412,500.0
Before ICA,Frontal ROI,familiar,269,6.266566722408342,367.0
Before ICA,Frontal ROI,familiar,270,-4.275314366242867,353.0
Before ICA,Frontal ROI,familiar,271,-8.600938657555202,492.0
Before ICA,Frontal ROI,familiar,272,-7.496161028574529,500.0
Before ICA,Frontal ROI,familiar,273,-18.682263545976458,456.0
Before ICA,Frontal ROI,familiar,274,10.496895488113394,479.0
Before ICA,Frontal ROI,familiar,275,-21.288471058666236,305.0
Before ICA,Frontal ROI,familiar,276,-2.381504486178215,324.0
Before ICA,Frontal ROI,familiar,277,3.8069784552319206,485.0
Before ICA,Frontal ROI,familiar,278,-9.431089180284268,480.0
Before ICA,Frontal ROI,familiar,279,-6.204341157353087,368.0
Before ICA,Frontal ROI,familiar,280,-0.15900288213899433,305.0
Before ICA,Frontal ROI,familiar,281,-3.5799211289463675,320.0
Before ICA,Frontal ROI,familiar,282,-12.06810875686791,336.0
Before ICA,Frontal ROI,familiar,283,24.254884378997925,479.0
Before ICA,Frontal ROI,familiar,284,0.5861160362386104,315.0
Before ICA,Frontal ROI,familiar,285,3.013863127833473,316.0
Before ICA,Frontal ROI,familiar,286,3.196026480609162,304.0
Before ICA,Frontal ROI,familiar,287,3.7109403803610133,315.0
Before ICA,Frontal ROI,familiar,288,7.145574744211098,442.0
Before ICA,Frontal ROI,familiar,289,8.760217683228706,415.0
Before ICA,Frontal ROI,familiar,290,-3.2182009713480597,371.0
Before ICA,Frontal ROI,familiar,291,-7.889520036157086,421.0
Before ICA,Frontal ROI,familiar,292,-2.2194252317989314,500.0
Before ICA,Frontal ROI,familiar,293,-3.485692559191149,350.0
Before ICA,Frontal ROI,familiar,294,-5.956435747123051,487.0
Before ICA,Frontal ROI,familiar,295,-3.1967788920069693,500.0
Before ICA,Frontal ROI,familiar,296,-2.3398395637854543,482.0
Before ICA,Frontal ROI,familiar,297,-4.076838891327115,351.0
Before ICA,Frontal ROI,familiar,298,-13.528235979167325,360.0
Before ICA,Frontal ROI,familiar,299,-20.69257800371235,487.0
Before ICA,Frontal ROI,familiar,300,-10.009640298074151,408.0
Before ICA,Frontal ROI,familiar,301,-10.772695622964365,365.0
Before ICA,Frontal ROI,familiar,302,-11.384571095501776,409.0
Before ICA,Frontal ROI,familiar,303,-5.459343631726825,429.0
Before ICA,Frontal ROI,familiar,304,-26.461285733131113,338.0
Before ICA,Frontal ROI,familiar,305,-18.357927397964435,340.0
Before ICA,Frontal ROI,familiar,306,-9.837039200109398,368.0
Before ICA,Frontal ROI,familiar,307,-23.91468099925855,371.0
Before ICA,Frontal ROI,familiar,308,-27.21036131676817,309.0
Before ICA,Frontal ROI,familiar,309,-12.677321969681197,300.0
Before ICA,Frontal ROI,familiar,310,-6.415411438244277,476.0
Before ICA,Frontal ROI,familiar,311,-14.165339779601414,486.0
Before ICA,Frontal ROI,familiar,312,-15.285480140244891,427.0
Before ICA,Frontal ROI,familiar,313,-14.254425681935158,475.0
Before ICA,Frontal ROI,familiar,314,-18.586372289380233,498.0
Before ICA,Frontal ROI,familiar,315,-22.32399438199701,380.0
Before ICA,Frontal ROI,familiar,316,-20.274123310323038,318.0
Before ICA,Frontal ROI,familiar,317,-6.979812626849132,469.0
Before ICA,Frontal ROI,familiar,318,-22.70646470084001,499.0
Before ICA,Frontal ROI,familiar,319,-4.009085819112426,491.0
Before ICA,Frontal ROI,familiar,320,-27.94271584399443,421.0
Before ICA,Frontal ROI,familiar,321,-13.208188106217298,425.0
Before ICA,Frontal ROI,familiar,322,-24.700420238359268,479.0
Before ICA,Frontal ROI,familiar,323,-13.712497365171144,475.0
Before ICA,Frontal ROI,familiar,324,-22.909636776134743,358.0
Before ICA,Frontal ROI,familiar,325,-14.617794836990818,388.0
Before ICA,Frontal ROI,familiar,326,-15.646289431567363,316.0
Before ICA,Frontal ROI,familiar,327,-15.838616358872557,328.0
Before ICA,Frontal ROI,familiar,328,-20.43627874360207,307.0
Before ICA,Frontal ROI,familiar,329,-18.322406362364468,500.0
Before ICA,Frontal ROI,familiar,330,-5.808526175388661,495.0
Before ICA,Frontal ROI,familiar,331,-17.562174705878387,483.0
Before ICA,Frontal ROI,familiar,332,-25.707645498932518,361.0
Before ICA,Frontal ROI,familiar,333,-22.71957117956078,368.0
Before ICA,Frontal ROI,familiar,334,-0.8942445774363162,373.0
Before ICA,Frontal ROI,familiar,335,-12.321106931716301,481.0
Before ICA,Frontal ROI,familiar,336,-29.8173733697334,500.0
Before ICA,Frontal ROI,familiar,337,-7.940880783311642,362.0
Before ICA,Frontal ROI,familiar,338,-13.497905324895932,477.0
Before ICA,Frontal ROI,familiar,339,-19.447972283354936,500.0
Before ICA,Frontal ROI,familiar,340,-30.567174197917492,402.0
Before ICA,Frontal ROI,familiar,341,-13.65605495531255,328.0
Before ICA,Frontal ROI,familiar,342,-18.231224399635316,304.0
Before ICA,Frontal ROI,familiar,343,-25.45992907021738,492.0
Before ICA,Frontal ROI,familiar,344,-9.720680431527523,466.0
Before ICA,Frontal ROI,familiar,345,-14.108560858056213,338.0
Before ICA,Frontal ROI,familiar,346,-17.177621684183627,500.0
Before ICA,Frontal ROI,familiar,347,-18.418818094835334,337.0
Before ICA,Frontal ROI,familiar,348,-18.259787157628654,302.0
Before ICA,Frontal ROI,familiar,349,-23.796371821465772,334.0
Before ICA,Frontal ROI,familiar,350,-1.2770328447816428,404.0
Before ICA,Frontal ROI,familiar,351,-7.883363549013906,484.0
Before ICA,Frontal ROI,familiar,352,11.40408637573845,500.0
Before ICA,Frontal ROI,familiar,353,-3.4854881795859245,421.0
Before ICA,Frontal ROI,familiar,354,-5.367325104634133,345.0
Before ICA,Frontal ROI,familiar,355,-13.286831635028973,373.0
Before ICA,Frontal ROI,familiar,356,-7.203831926415906,369.0
Before ICA,Frontal ROI,familiar,357,2.64803862038833,425.0
Before ICA,Frontal ROI,familiar,358,-1.3716763046107987,483.0
Before ICA,Frontal ROI,familiar,359,-12.319369357952807,495.0
Before ICA,Frontal ROI,familiar,360,5.238550421151409,479.0
Before ICA,Frontal ROI,familiar,361,-3.5259463542342515,470.0
Before ICA,Frontal ROI,familiar,362,-8.760398495939135,385.0
Before ICA,Frontal ROI,familiar,363,-6.72113660437047,477.0
Before ICA,Frontal ROI,familiar,364,-5.492445919686687,392.0
Before ICA,Frontal ROI,familiar,365,-6.835129254751106,490.0
Before ICA,Frontal ROI,familiar,366,15.089729105233427,489.0
Before ICA,Frontal ROI,familiar,367,-0.4409228829276335,474.0
Before ICA,Frontal ROI,familiar,368,-17.7239204920666,342.0
Before ICA,Frontal ROI,familiar,369,-12.76313828168582,371.0
Before ICA,Frontal ROI,familiar,370,-7.2958343434904895,500.0
Before ICA,Frontal ROI,familiar,371,-1.630814220509355,317.0
Before ICA,Frontal ROI,familiar,372,-16.456895767910307,329.0
Before ICA,Frontal ROI,familiar,373,12.342769645070042,329.0
Before ICA,Frontal ROI,familiar,374,4.379570735309942,478.0
Before ICA,Frontal ROI,familiar,375,-6.267882932610616,498.0
Before ICA,Frontal ROI,familiar,376,-7.337512095388385,500.0
Before ICA,Frontal ROI,familiar,377,3.1758987204274765,411.0
Before ICA,Frontal ROI,familiar,378,-65.177491041828,472.0
Before ICA,Frontal ROI,familiar,379,21.208069371775075,427.0
Before ICA,Frontal ROI,familiar,380,-8.030671605771309,492.0
Before ICA,Frontal ROI,familiar,381,4.437759409630263,463.0
Before ICA,Frontal ROI,familiar,382,-6.873293292250381,315.0
Before ICA,Frontal ROI,familiar,383,-6.497211001661153,493.0
Before ICA,Frontal ROI,familiar,384,5.6540673458891995,489.0
Before ICA,Frontal ROI,familiar,385,-8.621154097043304,482.0
Before ICA,Frontal ROI,familiar,386,-1.4312852736156405,468.0
Before ICA,Frontal ROI,familiar,387,-13.931396885777191,300.0
Before ICA,Frontal ROI,familiar,388,-4.5890145183841495,455.0
Before ICA,Frontal ROI,familiar,389,-1.336407296383293,436.0
Before ICA,Frontal ROI,familiar,390,-14.089379295007356,392.0
Before ICA,Frontal ROI,familiar,391,-8.843053694785567,305.0
Before ICA,Frontal ROI,familiar,392,-9.161806831020867,300.0
Before ICA,Frontal ROI,familiar,393,2.7306307179866405,464.0
Before ICA,Frontal ROI,familiar,394,-5.8259990441510405,500.0
Before ICA,Frontal ROI,familiar,395,-0.2640805050189529,302.0
Before ICA,Frontal ROI,familiar,396,1.9496551666632882,458.0
Before ICA,Frontal ROI,familiar,397,-0.5809346189883007,373.0
Before ICA,Frontal ROI,familiar,398,-11.68600251768889,442.0
Before ICA,Frontal ROI,familiar,399,-20.361442419580218,300.0
Before ICA,Frontal ROI,familiar,400,22.46612037023315,475.0
Before ICA,Frontal ROI,familiar,401,-2.8057408667552046,353.0
Before ICA,Frontal ROI,familiar,402,-8.844743164538144,486.0
Before ICA,Frontal ROI,familiar,403,-2.203020495093429,325.0
Before ICA,Frontal ROI,familiar,404,-4.007470597193328,359.0
Before ICA,Frontal ROI,familiar,405,-13.799225406890596,313.0
Before ICA,Frontal ROI,familiar,406,-5.115806846540733,302.0
Before ICA,Frontal ROI,familiar,407,-2.770715499087851,450.0
Before ICA,Frontal ROI,familiar,408,8.807746723176892,336.0
