roi,time_ms,t_value,p_value,p_fdr,sig,mean_diff_uV
Frontal ROI,131.0,0.588803801807365,0.5704733640858843,0.6759342747782647,False,0.10910463846748156
Frontal ROI,132.0,0.5778877414430037,0.5775101710119286,0.6772503514977792,False,0.1160671137362638
Frontal ROI,133.0,0.5870126965375577,0.5716246682707875,0.6759342747782647,False,0.12672246806886261
Frontal ROI,134.0,0.6432954943604341,0.5360770621515604,0.6445797951427852,False,0.14680860567776785
Frontal ROI,135.0,0.7628580798747511,0.4650722613574848,0.5832122633481159,False,0.18017251838897574
Frontal ROI,136.0,0.9513566382477199,0.3662714872338937,0.49905458095583144,False,0.22772983939354977
Frontal ROI,137.0,1.202123895419516,0.25998938207597605,0.40681374293584643,False,0.28728670075527574
Frontal ROI,138.0,1.492152217035742,0.1698568340922064,0.35726084841821365,False,0.354229187964709
Frontal ROI,139.0,1.7831134437306522,0.10824262831084452,0.2800070130738656,False,0.4228340793654969
Frontal ROI,140.0,2.0353655256322654,0.07230477478585214,0.2496829907629672,False,0.4877943752028062
Frontal ROI,141.0,2.227912384398014,0.05287669712830039,0.22371671498349943,False,0.5455270418330785
Frontal ROI,142.0,2.3653116276894433,0.04223219168999165,0.22371671498349943,False,0.5949306831664026
Frontal ROI,143.0,2.468103024325685,0.03568114630598903,0.2063615714352409,False,0.6374465457779241
Frontal ROI,144.0,2.5605296390718224,0.030660474218347975,0.19718341676203607,False,0.6764753292529362
Frontal ROI,145.0,2.6640295437739825,0.025874366021138233,0.17609641340599905,False,0.7163600246765581
Frontal ROI,146.0,2.7942598568907897,0.020907798934560823,0.1510965675580117,False,0.7612260158865267
Frontal ROI,147.0,2.9570524521356574,0.016036118006952628,0.12353097497663508,False,0.8139653600395951
Frontal ROI,148.0,3.1427851405850835,0.011874657301599771,0.0967922647490865,False,0.8755819892131175
Frontal ROI,149.0,3.32524114190968,0.008866002802197761,0.08111852976213028,False,0.9450111084526138
Frontal ROI,150.0,3.473466450992649,0.00701035732593174,0.07226853655114926,False,1.0194156198269408
Frontal ROI,151.0,3.5722454184163865,0.006003116321122427,0.07006837754569716,False,1.094853040069919
Frontal ROI,152.0,3.6299754397524704,0.005485831391177675,0.07006837754569716,False,1.1671133766276427
Frontal ROI,153.0,3.665782667660722,0.005188705734002663,0.07006837754569716,False,1.2324935093218619
Frontal ROI,154.0,3.6927748184467144,0.004975941926886979,0.07006837754569716,False,1.288323740744686
Frontal ROI,155.0,3.7116185727907265,0.004832864745850268,0.07006837754569716,False,1.33318885820822
Frontal ROI,156.0,3.7142884123189552,0.004812946268507202,0.07006837754569716,False,1.3669286394785272
Frontal ROI,157.0,3.6928924341986336,0.004975035187377603,0.07006837754569716,False,1.390564270596292
Frontal ROI,158.0,3.64804819330154,0.00533369080768343,0.07006837754569716,False,1.4062301744546264
Frontal ROI,159.0,3.5915662492346567,0.005824515161351645,0.07006837754569716,False,1.4170467944932703
Frontal ROI,160.0,3.541906301959714,0.0062952578721307785,0.07006837754569716,False,1.4267758767798344
Frontal ROI,161.0,3.516004586912592,0.0065564632794856935,0.07006837754569716,False,1.4391675429773638
Frontal ROI,162.0,3.522166442479199,0.006493311468485869,0.07006837754569716,False,1.4571049804471747
Frontal ROI,163.0,3.5562800273979676,0.006155034562439745,0.07006837754569716,False,1.4818367573583218
Frontal ROI,164.0,3.6020675047443236,0.005729790110714484,0.07006837754569716,False,1.5126312988425314
Frontal ROI,165.0,3.6361191231979917,0.005433606947913309,0.07006837754569716,False,1.5470609651898948
Frontal ROI,166.0,3.6370962858687377,0.0054253488570957815,0.07006837754569716,False,1.581889459336098
Frontal ROI,167.0,3.5950643013504577,0.005792780154970104,0.07006837754569716,False,1.6142846295398485
Frontal ROI,168.0,3.5156348460364946,0.00656027309639488,0.07006837754569716,False,1.6429129263175724
Frontal ROI,169.0,3.4169636068644307,0.007664667960486491,0.0749761519328492,False,1.6684840327801915
Frontal ROI,170.0,3.3221108784311317,0.008910309260604895,0.08111852976213028,False,1.6935248822885682
Frontal ROI,171.0,3.251077934508719,0.009980142660032663,0.0863713580825049,False,1.7214757191524757
Frontal ROI,172.0,3.2157360486087976,0.010561333857755002,0.08813684564626495,False,1.7554699374279856
Frontal ROI,173.0,3.218498531211235,0.010514665128321976,0.08813684564626495,False,1.7972729473265214
Frontal ROI,174.0,3.2538849188310444,0.009935428854953137,0.0863713580825049,False,1.8467672471570302
Frontal ROI,175.0,3.3116441509508103,0.00906013892940579,0.08142509473735204,False,1.9021280628727228
Frontal ROI,176.0,3.3800788713223455,0.008125959343269368,0.07803147259769626,False,1.9605433413129507
Frontal ROI,177.0,3.4485214416033974,0.007291714779370136,0.07302131514769236,False,2.019142697532593
Frontal ROI,178.0,3.5088265152826636,0.006630842312096824,0.07006837754569716,False,2.0757984510497667
Frontal ROI,179.0,3.5564607788182006,0.0061532922373483635,0.07006837754569716,False,2.129602623672961
Frontal ROI,180.0,3.5913476450957558,0.0058265044309154385,0.07006837754569716,False,2.1809896130342126
Frontal ROI,181.0,3.617821291175051,0.005590708144914581,0.07006837754569716,False,2.231567321639166
Frontal ROI,182.0,3.643224127843109,0.005373861818864588,0.07006837754569716,False,2.283718850416779
Frontal ROI,183.0,3.675593259954554,0.005110287635881251,0.07006837754569716,False,2.33999993535058
Frontal ROI,184.0,3.721278641898693,0.004761203834735383,0.07006837754569716,False,2.402362358240981
Frontal ROI,185.0,3.783039279782976,0.004328732115562578,0.07006837754569716,False,2.471322639222813
Frontal ROI,186.0,3.8589183768766557,0.003853429555942422,0.07006837754569716,False,2.545330250991996
Frontal ROI,187.0,3.9422661149246085,0.0033942755851629563,0.07006837754569716,False,2.620670135789958
Frontal ROI,188.0,4.023200814446038,0.003003551124378663,0.07006837754569716,False,2.6921418058000954
Frontal ROI,189.0,4.091297090574136,0.002711768664660898,0.07006837754569716,False,2.7544736346264616
Frontal ROI,190.0,4.138669730179186,0.0025266386858880437,0.07006837754569716,False,2.8040606172329
Frontal ROI,191.0,4.1624308298973745,0.002438886487400145,0.07006837754569716,False,2.8403620641862077
Frontal ROI,192.0,4.165705718212957,0.0024270485611682397,0.07006837754569716,False,2.8663375808624636
Frontal ROI,193.0,4.156615491918212,0.002460059192252272,0.07006837754569716,False,2.8876633890845507
Frontal ROI,194.0,4.145083150462667,0.002502627162471841,0.07006837754569716,False,2.910990235254364
Frontal ROI,195.0,4.138466374338352,0.002527404036274799,0.07006837754569716,False,2.941910267833726
Frontal ROI,196.0,4.1381900485474645,0.0025284444116619536,0.07006837754569716,False,2.983385463402981
Frontal ROI,197.0,4.139449986421615,0.0025237043986730133,0.07006837754569716,False,3.0351478393846936
Frontal ROI,198.0,4.134410702862646,0.00254271957358965,0.07006837754569716,False,3.0941650654222452
Frontal ROI,199.0,4.117110827950508,0.0026091665744400008,0.07006837754569716,False,3.1558887862252614
Frontal ROI,200.0,4.087089150408176,0.002728896491094291,0.07006837754569716,False,3.2158004568058667
Frontal ROI,201.0,4.049712558701291,0.0028861735149797656,0.07006837754569716,False,3.2707564564879967
Frontal ROI,202.0,4.013581696125593,0.0030473821594736586,0.07006837754569716,False,3.319749579307243
Frontal ROI,203.0,3.9869776207633336,0.0031721783598081432,0.07006837754569716,False,3.3638854223916432
