roi,time_ms,F,p,p_fdr,n_subjects
Parieto-occipital ROI,170.0,0.4678135197429307,0.6337753248926908,0.8166847477017947,10
Parieto-occipital ROI,171.0,0.5142921230148628,0.6064489517670213,0.8051243451643662,10
Parieto-occipital ROI,172.0,0.512329505778956,0.6075760036975031,0.8051243451643662,10
Parieto-occipital ROI,173.0,0.45635245907928684,0.6407221329278396,0.8239419003620218,10
Parieto-occipital ROI,174.0,0.3644196060219873,0.6996080449291107,0.8558904703233972,10
Parieto-occipital ROI,175.0,0.26436297641393897,0.7706239889371098,0.9003456937415232,10
Parieto-occipital ROI,176.0,0.17952242174807223,0.8371471483086315,0.9253422770565208,10
Parieto-occipital ROI,177.0,0.12118489862233223,0.8865867755938459,0.9503017273567063,10
Parieto-occipital ROI,178.0,0.08845365129713338,0.915740905004549,0.9609796024074683,10
Parieto-occipital ROI,179.0,0.0735877977214106,0.9293325997232742,0.961292711162296,10
Parieto-occipital ROI,180.0,0.06827553872530626,0.9342437821207609,0.961292711162296,10
Parieto-occipital ROI,181.0,0.06720422484153696,0.9352377018725904,0.961292711162296,10
Parieto-occipital ROI,182.0,0.0702522764393373,0.9324129275841764,0.961292711162296,10
Parieto-occipital ROI,183.0,0.08525967763626452,0.9186423871003718,0.961292711162296,10
Parieto-occipital ROI,184.0,0.12597589670244666,0.8824065607246163,0.9503017273567063,10
Parieto-occipital ROI,185.0,0.1969960637850583,0.8229407716014756,0.9253422770565208,10
Parieto-occipital ROI,186.0,0.2772674868167388,0.7610301764273094,0.8936049475302243,10
Parieto-occipital ROI,187.0,0.32961289916209857,0.7234524040332005,0.8637031258754685,10
Parieto-occipital ROI,188.0,0.33068744507460457,0.7227029176308926,0.8637031258754685,10
Parieto-occipital ROI,189.0,0.28730613282956735,0.7536587297413937,0.8879239824348184,10
Parieto-occipital ROI,190.0,0.22731876853035918,0.7989192179658969,0.9211223220297594,10
Parieto-occipital ROI,191.0,0.1794481308072517,0.8372081269378144,0.9253422770565208,10
Parieto-occipital ROI,192.0,0.16021442820103454,0.8531626306346848,0.9301197575037543,10
Parieto-occipital ROI,193.0,0.1739769389094404,0.8417125220162684,0.9253422770565208,10
Parieto-occipital ROI,194.0,0.2179783162404408,0.8062346243062408,0.9253422770565208,10
Parieto-occipital ROI,195.0,0.2833090887286793,0.7565842387765285,0.8898750862119906,10
Parieto-occipital ROI,196.0,0.35372149332387887,0.7068425304766717,0.8602371768474772,10
Parieto-occipital ROI,197.0,0.4100740700375817,0.6696458899163709,0.8337864455264227,10
Parieto-occipital ROI,198.0,0.44058466146967445,0.6504180178379056,0.8239419003620218,10
Parieto-occipital ROI,199.0,0.4475435470413454,0.6461189271426628,0.8239419003620218,10
Parieto-occipital ROI,200.0,0.4434846885795017,0.6486225756326814,0.8239419003620218,10
Parieto-occipital ROI,201.0,0.44075547631569284,0.6503121113645502,0.8239419003620218,10
Parieto-occipital ROI,202.0,0.4432511944298281,0.6487669306838629,0.8239419003620218,10
Parieto-occipital ROI,203.0,0.4450942347632244,0.6476284627537752,0.8239419003620218,10
Parieto-occipital ROI,204.0,0.4360843032059681,0.6532151886911293,0.8239419003620218,10
Parieto-occipital ROI,205.0,0.41050542559364955,0.6693696855518003,0.8337864455264227,10
Parieto-occipital ROI,206.0,0.3736005103940787,0.6934651170335976,0.8514728674211681,10
