roi,time_ms,category,mean_uV,sem_uV
Frontal ROI,231.0,nonanimal,2.568586148357012,1.3848107774470444
Frontal ROI,232.0,animal,1.8937890468736058,0.6386838967103161
Frontal ROI,232.0,nonanimal,2.5983172476364746,1.3911589629386842
Frontal ROI,233.0,animal,1.9030127923395628,0.6432282244726811
Frontal ROI,233.0,nonanimal,2.6380243250036797,1.3963434655713103
Frontal ROI,234.0,animal,1.9212709116542985,0.6490745063328683
Frontal ROI,234.0,nonanimal,2.683476015530489,1.4011844341581419
Frontal ROI,235.0,animal,1.9461853519249792,0.6554864084690867
Frontal ROI,235.0,nonanimal,2.728621511858386,1.4054569695229038
Frontal ROI,236.0,animal,1.9731243931557807,0.6615495340076356
Frontal ROI,236.0,nonanimal,2.768091325720231,1.4079959787103418
Frontal ROI,237.0,animal,1.9965291904652092,0.6661626798767254
Frontal ROI,237.0,nonanimal,2.7990338945297975,1.4072766410921786
Frontal ROI,238.0,animal,2.011451554111504,0.668380028970148
Frontal ROI,238.0,nonanimal,2.8215091288458547,1.402257418165341
Frontal ROI,239.0,animal,2.0147843719896206,0.6678132358599319
Frontal ROI,239.0,nonanimal,2.837497937455677,1.3931435515740083
Frontal ROI,240.0,animal,2.00580577634993,0.6648022926594828
Frontal ROI,240.0,nonanimal,2.8492843720027965,1.3815960791857314
Frontal ROI,241.0,animal,1.9859223521256566,0.6603206468016385
Frontal ROI,241.0,nonanimal,2.858162974054149,1.370075696939578
Frontal ROI,242.0,animal,1.9577894824860802,0.6557313709464653
Frontal ROI,242.0,nonanimal,2.8640955742257352,1.3606200576397416
Frontal ROI,243.0,animal,1.924193537744559,0.6524809235627026
Frontal ROI,243.0,nonanimal,2.866312987808466,1.3539418047047131
Frontal ROI,244.0,animal,1.887121303856409,0.6517882230924454
Frontal ROI,244.0,nonanimal,2.8642929446232492,1.349543587851854
Frontal ROI,245.0,animal,1.8473095124714978,0.6544150409257098
Frontal ROI,245.0,nonanimal,2.8583375209501707,1.346577108142071
Frontal ROI,246.0,animal,1.8043582543922707,0.6605503765564859
Frontal ROI,246.0,nonanimal,2.849270435396791,1.3444834143806852
Frontal ROI,247.0,animal,1.7572981689584064,0.6697101875059837
Frontal ROI,247.0,nonanimal,2.8374236551678758,1.3428444566524604
Frontal ROI,248.0,animal,1.705395460479065,0.6805979567005983
Frontal ROI,248.0,nonanimal,2.821675133969579,1.340834386376903
Frontal ROI,249.0,animal,1.648944691330423,0.6911265897249341
Frontal ROI,249.0,nonanimal,2.799392493494177,1.3370757153529238
Frontal ROI,250.0,animal,1.5898126704483668,0.6988727260382119
Frontal ROI,250.0,nonanimal,2.767601327268808,1.3302226513582374
Frontal ROI,251.0,animal,1.5315210618543325,0.7018829870251541
Frontal ROI,251.0,nonanimal,2.7248787477734786,1.319838107599269
Frontal ROI,252.0,animal,1.478715295590837,0.6993329646688569
Frontal ROI,252.0,nonanimal,2.672906378412058,1.3068719021680555
Frontal ROI,253.0,animal,1.4360171626198075,0.6915496311026567
Frontal ROI,253.0,nonanimal,2.6167112731379754,1.2934180327430564
Frontal ROI,254.0,animal,1.4065077874741436,0.6793895454435861
Frontal ROI,254.0,nonanimal,2.5633063661884234,1.2819944507624603
Frontal ROI,255.0,animal,1.3903505220788774,0.6635228036062819
Frontal ROI,255.0,nonanimal,2.5192631319184278,1.27482106464452
Frontal ROI,256.0,animal,1.384150270489679,0.6442753717760487
Frontal ROI,256.0,nonanimal,2.4882602042601953,1.273312318594693
Frontal ROI,257.0,animal,1.3814282452553672,0.6221490325202992
Frontal ROI,257.0,nonanimal,2.4696416904914313,1.2776317554782917
Frontal ROI,258.0,animal,1.3741561262115956,0.5984502574617403
Frontal ROI,258.0,nonanimal,2.4585839423264497,1.2861999886699553
Frontal ROI,259.0,animal,1.354870359459203,0.5753325732285139
Frontal ROI,259.0,nonanimal,2.447823758710646,1.2954611300664935
Frontal ROI,260.0,animal,1.3186988864606757,0.5551263439037594
Frontal ROI,260.0,nonanimal,2.4302564054380307,1.300432345198724
Frontal ROI,261.0,animal,1.264728497247903,0.5395237902195645
Frontal ROI,261.0,nonanimal,2.4013545214653216,1.2962151519130056
Frontal ROI,262.0,animal,1.1964204490564512,0.5292879340900773
Frontal ROI,262.0,nonanimal,2.360456622888641,1.279977422661342
Frontal ROI,263.0,animal,1.121055943365908,0.5245109343232949
Frontal ROI,263.0,nonanimal,2.3105146023506853,1.2524476581423263
Frontal ROI,264.0,animal,1.0483610023694563,0.5248178149763856
Frontal ROI,264.0,nonanimal,2.256594021544232,1.2180433142641922
Frontal ROI,265.0,animal,0.9885227555488612,0.5291319755927372
Frontal ROI,265.0,nonanimal,2.203921864822895,1.1834015364298247
Frontal ROI,266.0,animal,0.9498707708365941,0.5354162672218313
Frontal ROI,266.0,nonanimal,2.1563755774138835,1.1549934034880447
Frontal ROI,267.0,animal,0.9366329598458105,0.5410589831275813
Frontal ROI,267.0,nonanimal,2.116007166340059,1.1370805511759345
Frontal ROI,268.0,animal,0.947337620135503,0.5438837254770514
Frontal ROI,268.0,nonanimal,2.0836587703010596,1.1309102052774722
Frontal ROI,269.0,animal,0.9744688978501257,0.5430070763586058
Frontal ROI,269.0,nonanimal,2.060174773623756,1.1349895495834286
Frontal ROI,270.0,animal,1.0057554973636158,0.5388424441056114
Frontal ROI,270.0,nonanimal,2.0474139799138293,1.1457094429684183
Frontal ROI,271.0,animal,1.0269781886938951,0.5323179558264697
Frontal ROI,271.0,nonanimal,2.0483680547597762,1.1580335597887739
Frontal ROI,272.0,animal,1.025620007117708,0.5240830446947733
Frontal ROI,272.0,nonanimal,2.066160180097708,1.166531750414673
Frontal ROI,273.0,animal,0.9943026896790494,0.514419545548729
Frontal ROI,273.0,nonanimal,2.1022500783251785,1.1668668243942006
Frontal ROI,274.0,animal,0.9329337321367006,0.5037736883698246
Frontal ROI,274.0,nonanimal,2.1545676459932124,1.1572635671906581
Frontal ROI,275.0,animal,0.8488286978582034,0.49316086076584564
Frontal ROI,275.0,nonanimal,2.216391424835925,1.1391844313223143
Frontal ROI,276.0,animal,0.7546849985519621,0.4839049248311441
Frontal ROI,276.0,nonanimal,2.2766052415284026,1.1166572739485712
Frontal ROI,277.0,animal,0.6649883376452139,0.4769746533123703
Frontal ROI,277.0,nonanimal,2.3215503924428407,1.0943789731034637
Frontal ROI,278.0,animal,0.59198924556875,0.4726601717374788
Frontal ROI,278.0,nonanimal,2.338142696024369,1.0756066616171451
Frontal ROI,279.0,animal,0.5425506321148935,0.4709327304098999
Frontal ROI,279.0,nonanimal,2.3173972305096147,1.0612270438720344
Frontal ROI,280.0,animal,0.51682441934947,0.47199142861583215
Frontal ROI,280.0,nonanimal,2.257228833849752,1.050521501013535
Frontal ROI,281.0,animal,0.5090085662093802,0.4762392047585176
Frontal ROI,281.0,nonanimal,2.1635316206942163,1.0426365819327632
Frontal ROI,282.0,animal,0.509700508586454,0.4835913007514855
Frontal ROI,282.0,nonanimal,2.0490676356294477,1.0373154618476756
Frontal ROI,283.0,animal,0.5089110130244777,0.4928563057398086
Frontal ROI,283.0,nonanimal,1.9303825957564453,1.0345102451912975
Frontal ROI,284.0,animal,0.49875722889969226,0.501947445440778
Frontal ROI,284.0,nonanimal,1.8235577244986427,1.0337334619772007
Frontal ROI,285.0,animal,0.47512972958348687,0.5088548176957324
Frontal ROI,285.0,nonanimal,1.7399556940296876,1.03406333774752
Frontal ROI,286.0,animal,0.4380476175504449,0.5126443167959411
Frontal ROI,286.0,nonanimal,1.6831890960645253,1.0347104760734072
Frontal ROI,287.0,animal,0.3908292882076479,0.5138241728788812
