roi,time_ms,t_value,p_value,p_fdr,sig,mean_diff_uV
Parietal ROI,-64.0,0.315194983414692,0.7597992200655792,0.8244880081516579,False,0.020847530100540246
Parietal ROI,-63.0,0.3127026949546005,0.7616308903447531,0.824647371095575,False,0.020726574997410322
Parietal ROI,-62.0,0.3201066926997839,0.7561940697566657,0.8244044213054784,False,0.021324729827640353
Parietal ROI,-61.0,0.31658924201268346,0.7587752192395769,0.8244880081516579,False,0.021189881188897274
Parietal ROI,-60.0,0.28287332747578064,0.7836722423090824,0.8412775526166414,False,0.018972295634492896
Parietal ROI,-59.0,0.2083044000814903,0.8396290390682769,0.8850826411832513,False,0.013941906060228906
Parietal ROI,-58.0,0.09501115483394146,0.9263877506730174,0.9494120076341889,False,0.006307467207448442
Parietal ROI,-57.0,-0.042864877366409114,0.9667451773737678,0.9764572223428406,False,-0.0027979082778940264
Parietal ROI,-56.0,-0.1840245156883896,0.8580737405317311,0.9004636109472209,False,-0.011681361587124572
Parietal ROI,-55.0,-0.30618912731673703,0.7664253242771646,0.8271377651979064,False,-0.018688701697524998
Parietal ROI,-54.0,-0.3928492157342032,0.703573461223602,0.7878674062583786,False,-0.022826337841433612
Parietal ROI,-53.0,-0.44129428998742437,0.6694112764855954,0.7655094695210479,False,-0.024180094680153207
Parietal ROI,-52.0,-0.4697019685744805,0.6497399368346606,0.7491244995412781,False,-0.02397111142374873
Parietal ROI,-51.0,-0.5190128855290703,0.6162717026471993,0.7232873505033892,False,-0.02421115341543629
Parietal ROI,-50.0,-0.6493587571152905,0.5323265877609642,0.6668643056325814,False,-0.027055817709434993
Parietal ROI,-49.0,-0.9272620576068186,0.3779865023047101,0.5342107623298423,False,-0.034059035576433715
Parietal ROI,-48.0,-1.371686443263075,0.2033826662710426,0.34773475379512403,False,-0.04557448768659097
Parietal ROI,-47.0,-1.8622227642539544,0.0954747315812878,0.18236454179423092,False,-0.060510978501808546
