subject,session,roi,condition,time_s,amplitude_uV
sub-015,ses-01,Frontal ROI,familiar,0.108,-5.956079014618763
sub-015,ses-01,Frontal ROI,familiar,0.109,-5.807165757048059
sub-015,ses-01,Frontal ROI,familiar,0.11,-5.671224232408914
sub-015,ses-01,Frontal ROI,familiar,0.111,-5.555259045756453
sub-015,ses-01,Frontal ROI,familiar,0.112,-5.463705040239887
sub-015,ses-01,Frontal ROI,familiar,0.113,-5.399529812012712
sub-015,ses-01,Frontal ROI,familiar,0.114,-5.365398858597501
sub-015,ses-01,Frontal ROI,familiar,0.115,-5.36422191443931
sub-015,ses-01,Frontal ROI,familiar,0.116,-5.3987163978265755
sub-015,ses-01,Frontal ROI,familiar,0.117,-5.470176735137983
sub-015,ses-01,Frontal ROI,familiar,0.118,-5.5771408411232235
sub-015,ses-01,Frontal ROI,familiar,0.119,-5.714795774286405
sub-015,ses-01,Frontal ROI,familiar,0.12,-5.875648833662345
sub-015,ses-01,Frontal ROI,familiar,0.121,-6.051361210043554
sub-015,ses-01,Frontal ROI,familiar,0.122,-6.2350540775261045
sub-015,ses-01,Frontal ROI,familiar,0.123,-6.423187787607794
sub-015,ses-01,Frontal ROI,familiar,0.124,-6.6163557325700575
sub-015,ses-01,Frontal ROI,familiar,0.125,-6.818816840597194
sub-015,ses-01,Frontal ROI,familiar,0.126,-7.037018069344644
sub-015,ses-01,Frontal ROI,familiar,0.127,-7.277575537720225
sub-015,ses-01,Frontal ROI,familiar,0.128,-7.5452062796337325
sub-015,ses-01,Frontal ROI,familiar,0.129,-7.841026640476341
sub-015,ses-01,Frontal ROI,familiar,0.13,-8.161546353342697
sub-015,ses-01,Frontal ROI,familiar,0.131,-8.498606967336363
sub-015,ses-01,Frontal ROI,familiar,0.132,-8.840382240613254
sub-015,ses-01,Frontal ROI,familiar,0.133,-9.173293614183429
sub-015,ses-01,Frontal ROI,familiar,0.134,-9.484348267521646
sub-015,ses-01,Frontal ROI,familiar,0.135,-9.763176989834195
sub-015,ses-01,Frontal ROI,familiar,0.136,-10.003105688412099
sub-015,ses-01,Frontal ROI,familiar,0.137,-10.200940539901067
sub-015,ses-01,Frontal ROI,familiar,0.138,-10.355629967568653
sub-015,ses-01,Frontal ROI,familiar,0.139,-10.46639406711617
sub-015,ses-01,Frontal ROI,familiar,0.14,-10.531132757629809
