subject,session,ROI,SME_familiar_before_uV,SME_familiar_after_uV,Delta_SME_familiar_uV,SME_new_before_uV,SME_new_after_uV,Delta_SME_new_uV
sub-012,ses-02,Frontal ROI,1.037180093928394,0.917369423529539,-0.11981067039885496,1.437622459438215,1.3538313272282858,-0.08379113220992918
sub-012,ses-02,Parietal ROI,0.29112573322093394,0.2805871459940464,-0.010538587226887552,0.3554938932151049,0.34717554366804276,-0.00831834954706212
sub-014,ses-01,Frontal ROI,0.345043498171512,0.22190470932402492,-0.12313878884748705,0.32470900997265506,0.21525390232820565,-0.1094551076444494
sub-014,ses-01,Parietal ROI,0.14975241418075616,0.14365685231210323,-0.006095561868652927,0.13074504727809927,0.12490574960404345,-0.005839297674055818
sub-014,ses-02,Frontal ROI,0.36350415460403196,0.23007506602340747,-0.1334290885806245,0.3426796717397505,0.22421256530920994,-0.11846710643054056
sub-014,ses-02,Parietal ROI,0.15452195221694123,0.1482251171929116,-0.00629683502402964,0.1366814480076462,0.13012402332436154,-0.006557424683284657
sub-015,ses-01,Frontal ROI,0.8048919470311217,0.26286295627258377,-0.5420289907585378,1.1540962714715826,0.3346391080860876,-0.819457163385495
sub-015,ses-01,Parietal ROI,0.1689825820907858,0.14061442920403475,-0.02836815288675104,0.1864507077370407,0.1337135062919544,-0.05273720144508631
sub-015,ses-02,Frontal ROI,0.8525096834095863,0.2500897660771177,-0.6024199173324687,1.1469552876700362,0.3353857027425444,-0.8115695849274918
sub-015,ses-02,Parietal ROI,0.17653375920253742,0.14559856559187473,-0.030935193610662687,0.18978329651412523,0.13871479796821318,-0.051068498545912056
